"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"4711",5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7
"2529",6.4,0.16,0.37,1.5,0.037,27,109,0.99345,3.38,0.5,9.8,6
"2721",7.5,0.26,0.3,4.6,0.027,29,92,0.99085,3.15,0.38,12,7
"2825",7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6
"4320",6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.8933333333333,7
"4388",7.1,0.21,0.33,1.2,0.039,34,97,0.99112,3.11,0.75,11.2,6
"1358",6.3,0.29,0.4,6.5,0.039,43,167,0.9953,3.15,0.44,9.3,6
"1125",9.6,0.23,0.4,1.5,0.044,19,135,0.9937,2.96,0.49,10.9,5
"3927",6.9,0.14,0.29,9.9,0.056,30,91,0.99512,3.19,0.33,9.9,6
"953",6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6
"96",7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6
"1580",7.6,0.31,0.49,13.4,0.062,50,191,0.9989,3.22,0.53,9,4
"716",6.2,0.21,0.27,1.7,0.038,41,150,0.9933,3.49,0.71,10.5,7
"4180",6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5
"1709",7,0.61,0.26,1.7,0.051,25,161,0.9946,3.36,0.6,10.6,4
"853",6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7
"950",7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5
"997",6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5
"3701",7,0.3,0.27,1.5,0.076,24,145,0.99344,3.1,0.52,10.1,5
"1312",6.3,0.23,0.22,3.75,0.039,37,116,0.9927,3.23,0.5,10.7,6
"663",7,0.57,0.1,8.3,0.094,23,188,0.9972,3.4,0.47,9.2,4
"1968",8,0.23,0.35,9.2,0.044,53,186,0.997,3.09,0.56,9.5,7
"3408",6.1,0.33,0.32,7.8,0.052,52,183,0.99657,3.39,0.65,9.5,5
"4291",5.7,0.26,0.24,17.8,0.059,23,124,0.99773,3.3,0.5,10.1,5
"3902",4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,4
"4831",5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,6
"3653",6.6,0.085,0.33,1.4,0.036,17,109,0.99306,3.27,0.61,9.5,6
"1703",6.5,0.27,0.19,4.2,0.046,6,114,0.9955,3.25,0.35,8.6,4
"998",6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6
"4456",6,0.28,0.29,19.3,0.051,36,174,0.99911,3.14,0.5,9,5
"4312",7.1,0.23,0.28,1.9,0.046,33,103,0.98997,3.12,0.31,12,5
"2222",8.5,0.28,0.34,13.8,0.041,32,161,0.9981,3.13,0.4,9.9,6
"258",6.3,0.35,0.3,5.7,0.035,8,97,0.9927,3.27,0.41,11,7
"2548",6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,5
"751",7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6
"1839",6.5,0.34,0.36,11,0.052,53,247,0.9984,3.44,0.55,9.3,6
"4163",7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7
"2469",5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6
"555",7.8,0.28,0.34,1.6,0.028,32,118,0.9901,3,0.38,12.1,7
"3771",7.4,0.27,0.31,2.4,0.014,15,143,0.99094,3.03,0.65,12,4
"2921",7.4,0.28,0.4,11.9,0.032,13,92,0.99629,3.01,0.46,10.8,4
"2195",6.4,0.18,0.32,9.6,0.052,24,90,0.9963,3.35,0.49,9.4,6
"627",7.6,0.56,0.12,10.4,0.096,22,177,0.9983,3.32,0.45,9.1,4
"3285",8,0.34,0.25,6.4,0.035,38,103,0.99148,2.91,0.23,12.2,6
"1213",7.6,0.32,0.36,1.6,0.04,32,155,0.993,3.23,0.52,11.3,6
"389",6.7,0.21,0.32,5.4,0.047,29,140,0.995,3.39,0.46,9.7,6
"4266",6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6
"828",7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9
