,ParasiteCheckedBinomial,Par.Phylum,Par.Class,a.host.infect.site,b.host.infect.site,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,juv.lenth.min.um,juv.length.max.um,juv.width.min.um,juv.width.max.um,infect.larvae.min.um,infect.larvae.max.um,egg.size.min,egg.size.max,Ref,doi.y,alyssa.notes
1,Acanthocheilonema dracunculoides,Nematoda,Chromadorea,peritoneal cavity,,15,60,100,300,15,31,100,200,32,60,200,300,189,230,5,6,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,Synonym with Dipetalonema
2,Acanthocheilonema odendhali,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
3,Acanthocheilonema procyonis,Nematoda,Chromadorea,Subcutaneous connective tissue,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
4,Acanthocheilonema reconditum,Nematoda,Chromadorea,Subcutaneous connective tissue,Perirenal tissue,9,32,92,180,9,17,92,106,20,32,146,180,269,283,4.3,4.8,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
5,Acanthocheilonema spirocauda,Nematoda,Chromadorea,Heart,Pulmonary arteries,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,302,NA,NA,1170,1970,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
6,Aelurostrongylus abstrusus,Nematoda,Chromadorea,lung parenchyma,lung blood vessels,4,10,54,80,4,6,54,64,9,10,80,80,NA,NA,NA,NA,519,519,60,85,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
7,Aelurostrongylus falciformis,Nematoda,Chromadorea,lung parenchyma,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
8,Aelurostrongylus pridhami,Nematoda,Chromadorea,lung parenchyma,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,360,392,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
9,Agriostomum cursoni,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
10,Agriostomum equidentatum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
11,Agriostomum gorgonis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
12,Alaria alata,Platyhelminthes,Trematoda,intestine,,2.4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,125,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
13,Alaria americana,Platyhelminthes,Trematoda,intestine,,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,143,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
14,Alaria arisaemoides,Platyhelminthes,Trematoda,intestine,,7,10.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,125,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
15,Alaria canis,Platyhelminthes,Trematoda,intestine,,2.5,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108,116,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
16,Alaria marcianae,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
17,Alaria mustelae,Platyhelminthes,Trematoda,intestine,,0.82,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,125,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
18,Alaria taxideae,Platyhelminthes,Trematoda,intestine,,1.1,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,143,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
19,Amoebotaenia paradoxa,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
20,Ancylostoma braziliense,Nematoda,Chromadorea,small intestine,,5.07,10.6,190,320,5.07,7.5,190,270,6.5,10.6,220,320,NA,NA,NA,NA,683,683,75,95,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
21,Ancylostoma caninum,Nematoda,Chromadorea,Small Intestine,,11,20.5,340,570,11,13,340,390,14,20.5,500,570,300,340,NA,NA,630,630,34,55,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
22,Ancylostoma kusimaense,Nematoda,Chromadorea,small intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
23,Ancylostoma martinezi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
24,Ancylostoma pluridentatum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
25,Ancylostoma tubaeforme,Nematoda,Chromadorea,small intestine,,9.5,15,300,430,9.5,11,300,350,12,15,380,430,NA,NA,NA,NA,NA,NA,55,76,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
26,Angiocaulus gubernaculatus,Nematoda,Secernentea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
27,Angiostrongylus vasorum,Nematoda,Chromadorea,Pulminary arteries, right ventricle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,510,610,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
28,Anisakis pegreffii,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
29,Anisakis physeteris,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
30,Anisakis simplex,Nematoda,Chromadorea,,,4.2,39.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,50,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
31,Anophryocephalus arcticensis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
32,Anophryocephalus ochotensis,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
33,Anoplocephala gigantea,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
34,Anoplocephala magna,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
35,Anoplocephala perfoliata,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
36,Aonchotheca putorii,Nematoda,Enoplea,Stomach,small intestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
37,Apophallus donicus,Platyhelminthes,Trematoda,,,0.5,1.4,0.2,0.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,35,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
38,Apophallus muehlingi,Platyhelminthes,Trematoda,,,0.805,1.6,0.19,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,36,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
39,Apophallus venustus,Platyhelminthes,Trematoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
40,Apteragia odocoilei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
41,Apteragia pursglovei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
42,Apteragia quadrispiculata,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
43,Arhythmorhynchus brevis,Acanthocephala,Palaeacanthocephala,intestine,,5,12,1000,3000,5,6,1000,1500,6,12,3000,3000,NA,NA,NA,NA,NA,NA,76,100,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1971,NA,
44,Arthrostoma miyazakiense,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
45,Ascaridia schroederii,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
46,Ascaris lumbricoides,Nematoda,Chromadorea,small intestine,,17.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,75,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
47,Ascaris phacochoeri,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
48,Ascaris suum,Nematoda,Chromadorea,small intestine,,15,40,3000,6000,15,25,3000,4000,20,40,5000,6000,NA,NA,NA,NA,NA,NA,60,80,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
